losses_train,losses_val
"tensor(28.3727, dtype=torch.float64)","tensor(21.4024, dtype=torch.float64)"
"tensor(26.6887, dtype=torch.float64)","tensor(18.7654, dtype=torch.float64)"
"tensor(22.8909, dtype=torch.float64)","tensor(16.8131, dtype=torch.float64)"
"tensor(19.2515, dtype=torch.float64)","tensor(13.3294, dtype=torch.float64)"
"tensor(17.0347, dtype=torch.float64)","tensor(11.2047, dtype=torch.float64)"
"tensor(14.0127, dtype=torch.float64)","tensor(10.5896, dtype=torch.float64)"
"tensor(13.6704, dtype=torch.float64)","tensor(10.4650, dtype=torch.float64)"
"tensor(13.1064, dtype=torch.float64)","tensor(10.5017, dtype=torch.float64)"
"tensor(12.9728, dtype=torch.float64)","tensor(10.4856, dtype=torch.float64)"
"tensor(12.9604, dtype=torch.float64)","tensor(10.2766, dtype=torch.float64)"
"tensor(12.6187, dtype=torch.float64)","tensor(10.3119, dtype=torch.float64)"
"tensor(12.7598, dtype=torch.float64)","tensor(9.9950, dtype=torch.float64)"
"tensor(12.6581, dtype=torch.float64)","tensor(9.9299, dtype=torch.float64)"
"tensor(12.6091, dtype=torch.float64)","tensor(10.0229, dtype=torch.float64)"
"tensor(11.8665, dtype=torch.float64)","tensor(9.6766, dtype=torch.float64)"
"tensor(11.7449, dtype=torch.float64)","tensor(9.5181, dtype=torch.float64)"
"tensor(11.8637, dtype=torch.float64)","tensor(9.7100, dtype=torch.float64)"
"tensor(11.9816, dtype=torch.float64)","tensor(9.2811, dtype=torch.float64)"
"tensor(11.2543, dtype=torch.float64)","tensor(9.4773, dtype=torch.float64)"
"tensor(11.1175, dtype=torch.float64)","tensor(9.2703, dtype=torch.float64)"
"tensor(10.9357, dtype=torch.float64)","tensor(8.3476, dtype=torch.float64)"
"tensor(10.8969, dtype=torch.float64)","tensor(8.4743, dtype=torch.float64)"
"tensor(10.4271, dtype=torch.float64)","tensor(8.0946, dtype=torch.float64)"
"tensor(10.4645, dtype=torch.float64)","tensor(7.8619, dtype=torch.float64)"
"tensor(10.0241, dtype=torch.float64)","tensor(7.7480, dtype=torch.float64)"
"tensor(9.7410, dtype=torch.float64)","tensor(7.3042, dtype=torch.float64)"
"tensor(9.6012, dtype=torch.float64)","tensor(7.2627, dtype=torch.float64)"
"tensor(9.2365, dtype=torch.float64)","tensor(7.1070, dtype=torch.float64)"
"tensor(8.9707, dtype=torch.float64)","tensor(7.0257, dtype=torch.float64)"
"tensor(8.8010, dtype=torch.float64)","tensor(6.8145, dtype=torch.float64)"
"tensor(8.7425, dtype=torch.float64)","tensor(6.8836, dtype=torch.float64)"
"tensor(8.4601, dtype=torch.float64)","tensor(6.3607, dtype=torch.float64)"
"tensor(8.2254, dtype=torch.float64)","tensor(6.2242, dtype=torch.float64)"
"tensor(10.3306, dtype=torch.float64)","tensor(6.1798, dtype=torch.float64)"
"tensor(7.8442, dtype=torch.float64)","tensor(5.7995, dtype=torch.float64)"
"tensor(7.9905, dtype=torch.float64)","tensor(5.7695, dtype=torch.float64)"
"tensor(7.8281, dtype=torch.float64)","tensor(5.4102, dtype=torch.float64)"
"tensor(7.5962, dtype=torch.float64)","tensor(4.9956, dtype=torch.float64)"
"tensor(7.2699, dtype=torch.float64)","tensor(5.0334, dtype=torch.float64)"
"tensor(7.0664, dtype=torch.float64)","tensor(4.8581, dtype=torch.float64)"
"tensor(6.8132, dtype=torch.float64)","tensor(4.9618, dtype=torch.float64)"
"tensor(7.2471, dtype=torch.float64)","tensor(4.7657, dtype=torch.float64)"
"tensor(6.6673, dtype=torch.float64)","tensor(4.4001, dtype=torch.float64)"
"tensor(6.7291, dtype=torch.float64)","tensor(4.6172, dtype=torch.float64)"
"tensor(7.0973, dtype=torch.float64)","tensor(4.5291, dtype=torch.float64)"
"tensor(6.3791, dtype=torch.float64)","tensor(4.4394, dtype=torch.float64)"
"tensor(6.5253, dtype=torch.float64)","tensor(4.2143, dtype=torch.float64)"
"tensor(6.0811, dtype=torch.float64)","tensor(4.1873, dtype=torch.float64)"
"tensor(6.2245, dtype=torch.float64)","tensor(4.1901, dtype=torch.float64)"
"tensor(6.3127, dtype=torch.float64)","tensor(4.1601, dtype=torch.float64)"
