losses_train,losses_val
"tensor(30.5289, dtype=torch.float64)","tensor(23.1604, dtype=torch.float64)"
"tensor(28.9466, dtype=torch.float64)","tensor(20.0462, dtype=torch.float64)"
"tensor(24.6147, dtype=torch.float64)","tensor(17.8033, dtype=torch.float64)"
"tensor(23.3968, dtype=torch.float64)","tensor(16.5696, dtype=torch.float64)"
"tensor(21.6006, dtype=torch.float64)","tensor(16.0647, dtype=torch.float64)"
"tensor(21.9986, dtype=torch.float64)","tensor(14.8388, dtype=torch.float64)"
"tensor(20.0576, dtype=torch.float64)","tensor(13.9405, dtype=torch.float64)"
"tensor(18.5098, dtype=torch.float64)","tensor(13.2613, dtype=torch.float64)"
"tensor(18.3085, dtype=torch.float64)","tensor(12.7475, dtype=torch.float64)"
"tensor(17.0872, dtype=torch.float64)","tensor(12.1851, dtype=torch.float64)"
"tensor(16.8598, dtype=torch.float64)","tensor(12.3138, dtype=torch.float64)"
"tensor(16.4470, dtype=torch.float64)","tensor(11.6274, dtype=torch.float64)"
"tensor(16.6747, dtype=torch.float64)","tensor(11.3607, dtype=torch.float64)"
"tensor(16.0761, dtype=torch.float64)","tensor(11.3018, dtype=torch.float64)"
"tensor(15.5269, dtype=torch.float64)","tensor(11.2222, dtype=torch.float64)"
"tensor(15.5364, dtype=torch.float64)","tensor(11.6696, dtype=torch.float64)"
"tensor(15.5250, dtype=torch.float64)","tensor(11.2270, dtype=torch.float64)"
"tensor(15.7317, dtype=torch.float64)","tensor(11.1275, dtype=torch.float64)"
"tensor(15.3123, dtype=torch.float64)","tensor(11.1738, dtype=torch.float64)"
"tensor(15.5224, dtype=torch.float64)","tensor(11.4599, dtype=torch.float64)"
"tensor(15.7188, dtype=torch.float64)","tensor(11.5558, dtype=torch.float64)"
"tensor(15.5354, dtype=torch.float64)","tensor(11.1986, dtype=torch.float64)"
"tensor(15.5116, dtype=torch.float64)","tensor(11.1378, dtype=torch.float64)"
"tensor(15.5509, dtype=torch.float64)","tensor(11.2704, dtype=torch.float64)"
"tensor(15.2874, dtype=torch.float64)","tensor(11.2088, dtype=torch.float64)"
"tensor(16.0961, dtype=torch.float64)","tensor(11.3840, dtype=torch.float64)"
"tensor(15.3314, dtype=torch.float64)","tensor(11.1949, dtype=torch.float64)"
"tensor(15.3221, dtype=torch.float64)","tensor(11.2639, dtype=torch.float64)"
"tensor(16.7577, dtype=torch.float64)","tensor(11.2406, dtype=torch.float64)"
"tensor(15.2630, dtype=torch.float64)","tensor(11.1440, dtype=torch.float64)"
"tensor(15.3675, dtype=torch.float64)","tensor(11.1341, dtype=torch.float64)"
"tensor(15.3855, dtype=torch.float64)","tensor(11.2724, dtype=torch.float64)"
"tensor(15.8000, dtype=torch.float64)","tensor(11.2829, dtype=torch.float64)"
"tensor(15.3615, dtype=torch.float64)","tensor(11.2154, dtype=torch.float64)"
"tensor(15.6556, dtype=torch.float64)","tensor(11.1834, dtype=torch.float64)"
"tensor(15.3793, dtype=torch.float64)","tensor(11.5386, dtype=torch.float64)"
"tensor(15.2855, dtype=torch.float64)","tensor(11.2444, dtype=torch.float64)"
"tensor(15.4390, dtype=torch.float64)","tensor(11.2645, dtype=torch.float64)"
"tensor(15.5126, dtype=torch.float64)","tensor(11.6817, dtype=torch.float64)"
"tensor(15.3699, dtype=torch.float64)","tensor(11.3642, dtype=torch.float64)"
"tensor(15.8387, dtype=torch.float64)","tensor(11.0576, dtype=torch.float64)"
"tensor(15.2821, dtype=torch.float64)","tensor(11.2365, dtype=torch.float64)"
"tensor(15.3302, dtype=torch.float64)","tensor(11.2838, dtype=torch.float64)"
"tensor(15.3133, dtype=torch.float64)","tensor(11.1256, dtype=torch.float64)"
"tensor(15.8739, dtype=torch.float64)","tensor(11.2117, dtype=torch.float64)"
"tensor(15.3424, dtype=torch.float64)","tensor(11.1422, dtype=torch.float64)"
"tensor(15.3370, dtype=torch.float64)","tensor(11.4912, dtype=torch.float64)"
"tensor(15.2976, dtype=torch.float64)","tensor(11.1685, dtype=torch.float64)"
"tensor(15.4040, dtype=torch.float64)","tensor(11.1399, dtype=torch.float64)"
"tensor(15.3429, dtype=torch.float64)","tensor(11.1291, dtype=torch.float64)"
"tensor(29.8282, dtype=torch.float64)","tensor(23.4393, dtype=torch.float64)"
"tensor(29.6525, dtype=torch.float64)","tensor(20.0922, dtype=torch.float64)"
"tensor(24.7459, dtype=torch.float64)","tensor(18.3079, dtype=torch.float64)"
"tensor(23.9627, dtype=torch.float64)","tensor(16.6679, dtype=torch.float64)"
"tensor(22.1046, dtype=torch.float64)","tensor(16.3476, dtype=torch.float64)"
"tensor(20.4278, dtype=torch.float64)","tensor(14.7729, dtype=torch.float64)"
"tensor(19.5456, dtype=torch.float64)","tensor(14.0729, dtype=torch.float64)"
"tensor(18.9351, dtype=torch.float64)","tensor(13.4705, dtype=torch.float64)"
"tensor(18.1325, dtype=torch.float64)","tensor(12.6407, dtype=torch.float64)"
"tensor(17.2077, dtype=torch.float64)","tensor(12.0381, dtype=torch.float64)"
"tensor(16.9384, dtype=torch.float64)","tensor(12.3003, dtype=torch.float64)"
"tensor(16.3700, dtype=torch.float64)","tensor(12.0915, dtype=torch.float64)"
"tensor(16.1090, dtype=torch.float64)","tensor(11.4139, dtype=torch.float64)"
"tensor(15.7414, dtype=torch.float64)","tensor(11.1514, dtype=torch.float64)"
"tensor(15.5975, dtype=torch.float64)","tensor(11.1681, dtype=torch.float64)"
"tensor(15.8983, dtype=torch.float64)","tensor(11.2013, dtype=torch.float64)"
"tensor(15.6649, dtype=torch.float64)","tensor(11.0668, dtype=torch.float64)"
"tensor(15.6591, dtype=torch.float64)","tensor(11.1494, dtype=torch.float64)"
"tensor(15.6793, dtype=torch.float64)","tensor(11.0468, dtype=torch.float64)"
"tensor(15.4472, dtype=torch.float64)","tensor(11.1071, dtype=torch.float64)"
"tensor(15.3318, dtype=torch.float64)","tensor(11.0891, dtype=torch.float64)"
"tensor(15.5597, dtype=torch.float64)","tensor(11.2495, dtype=torch.float64)"
"tensor(16.0309, dtype=torch.float64)","tensor(11.0647, dtype=torch.float64)"
"tensor(15.3559, dtype=torch.float64)","tensor(11.2346, dtype=torch.float64)"
"tensor(15.5971, dtype=torch.float64)","tensor(11.5658, dtype=torch.float64)"
"tensor(15.6995, dtype=torch.float64)","tensor(11.1038, dtype=torch.float64)"
"tensor(15.5354, dtype=torch.float64)","tensor(11.0838, dtype=torch.float64)"
"tensor(15.5167, dtype=torch.float64)","tensor(11.2515, dtype=torch.float64)"
"tensor(15.3222, dtype=torch.float64)","tensor(11.5434, dtype=torch.float64)"
"tensor(15.2743, dtype=torch.float64)","tensor(11.5053, dtype=torch.float64)"
"tensor(15.4884, dtype=torch.float64)","tensor(11.1129, dtype=torch.float64)"
"tensor(15.7021, dtype=torch.float64)","tensor(11.2485, dtype=torch.float64)"
"tensor(15.5480, dtype=torch.float64)","tensor(11.1778, dtype=torch.float64)"
"tensor(15.3201, dtype=torch.float64)","tensor(11.0990, dtype=torch.float64)"
"tensor(15.3110, dtype=torch.float64)","tensor(11.2777, dtype=torch.float64)"
"tensor(16.5020, dtype=torch.float64)","tensor(11.2544, dtype=torch.float64)"
"tensor(16.5345, dtype=torch.float64)","tensor(11.2966, dtype=torch.float64)"
"tensor(15.2576, dtype=torch.float64)","tensor(11.3924, dtype=torch.float64)"
"tensor(15.2657, dtype=torch.float64)","tensor(11.4691, dtype=torch.float64)"
"tensor(15.3165, dtype=torch.float64)","tensor(11.3275, dtype=torch.float64)"
"tensor(15.3094, dtype=torch.float64)","tensor(11.3432, dtype=torch.float64)"
"tensor(15.5970, dtype=torch.float64)","tensor(10.9107, dtype=torch.float64)"
"tensor(15.2646, dtype=torch.float64)","tensor(10.1279, dtype=torch.float64)"
"tensor(14.1974, dtype=torch.float64)","tensor(9.2669, dtype=torch.float64)"
"tensor(11.9216, dtype=torch.float64)","tensor(7.9021, dtype=torch.float64)"
"tensor(10.7891, dtype=torch.float64)","tensor(6.7902, dtype=torch.float64)"
"tensor(11.8520, dtype=torch.float64)","tensor(5.9337, dtype=torch.float64)"
"tensor(8.9328, dtype=torch.float64)","tensor(5.5100, dtype=torch.float64)"
"tensor(8.2335, dtype=torch.float64)","tensor(4.7792, dtype=torch.float64)"
"tensor(7.6252, dtype=torch.float64)","tensor(4.3028, dtype=torch.float64)"
