lasso	{'rmse': 1.228881456765933, 'mae': 0.9306606076962464}
leastic	{'rmse': 1.2334579300759294, 'mae': 0.9133575370541269}
rf	{'rmse': 1.3726876266888157, 'mae': 1.064794533952822}
gradientBoost	{'rmse': 1.389316826764975, 'mae': 1.077145769434405}
