losses_train,losses_val
"tensor(2.7688, dtype=torch.float64)","tensor(2.1483, dtype=torch.float64)"
"tensor(3.5065, dtype=torch.float64)","tensor(2.0655, dtype=torch.float64)"
"tensor(2.8368, dtype=torch.float64)","tensor(1.9943, dtype=torch.float64)"
"tensor(2.7211, dtype=torch.float64)","tensor(1.9453, dtype=torch.float64)"
"tensor(2.6657, dtype=torch.float64)","tensor(1.9562, dtype=torch.float64)"
"tensor(2.6817, dtype=torch.float64)","tensor(1.9497, dtype=torch.float64)"
"tensor(2.6551, dtype=torch.float64)","tensor(1.9442, dtype=torch.float64)"
"tensor(2.6147, dtype=torch.float64)","tensor(2.0173, dtype=torch.float64)"
"tensor(2.6171, dtype=torch.float64)","tensor(1.8817, dtype=torch.float64)"
"tensor(2.5908, dtype=torch.float64)","tensor(1.8968, dtype=torch.float64)"
"tensor(2.5747, dtype=torch.float64)","tensor(1.9215, dtype=torch.float64)"
"tensor(2.7010, dtype=torch.float64)","tensor(1.8448, dtype=torch.float64)"
"tensor(2.5520, dtype=torch.float64)","tensor(1.8095, dtype=torch.float64)"
"tensor(2.6718, dtype=torch.float64)","tensor(1.8592, dtype=torch.float64)"
"tensor(2.6246, dtype=torch.float64)","tensor(1.8306, dtype=torch.float64)"
"tensor(2.4883, dtype=torch.float64)","tensor(1.7889, dtype=torch.float64)"
"tensor(2.4770, dtype=torch.float64)","tensor(1.7735, dtype=torch.float64)"
"tensor(2.4792, dtype=torch.float64)","tensor(1.8115, dtype=torch.float64)"
"tensor(2.4607, dtype=torch.float64)","tensor(1.8042, dtype=torch.float64)"
