losses_train,losses_val
"tensor(9.0703, dtype=torch.float64)","tensor(6.1313, dtype=torch.float64)"
"tensor(8.5568, dtype=torch.float64)","tensor(5.0919, dtype=torch.float64)"
"tensor(6.2092, dtype=torch.float64)","tensor(4.4104, dtype=torch.float64)"
"tensor(5.5298, dtype=torch.float64)","tensor(3.8338, dtype=torch.float64)"
"tensor(4.7980, dtype=torch.float64)","tensor(3.4379, dtype=torch.float64)"
"tensor(4.5040, dtype=torch.float64)","tensor(3.1719, dtype=torch.float64)"
"tensor(4.3903, dtype=torch.float64)","tensor(3.0951, dtype=torch.float64)"
"tensor(4.0219, dtype=torch.float64)","tensor(2.8873, dtype=torch.float64)"
"tensor(3.8645, dtype=torch.float64)","tensor(2.8580, dtype=torch.float64)"
"tensor(3.7849, dtype=torch.float64)","tensor(2.7143, dtype=torch.float64)"
"tensor(3.6526, dtype=torch.float64)","tensor(2.7307, dtype=torch.float64)"
"tensor(3.5751, dtype=torch.float64)","tensor(2.6743, dtype=torch.float64)"
"tensor(3.5863, dtype=torch.float64)","tensor(2.6601, dtype=torch.float64)"
"tensor(3.3895, dtype=torch.float64)","tensor(2.5904, dtype=torch.float64)"
"tensor(3.3712, dtype=torch.float64)","tensor(2.5397, dtype=torch.float64)"
"tensor(3.3037, dtype=torch.float64)","tensor(2.5340, dtype=torch.float64)"
"tensor(3.3023, dtype=torch.float64)","tensor(2.5007, dtype=torch.float64)"
"tensor(3.2812, dtype=torch.float64)","tensor(2.4508, dtype=torch.float64)"
"tensor(3.2081, dtype=torch.float64)","tensor(2.4325, dtype=torch.float64)"
"tensor(3.3560, dtype=torch.float64)","tensor(2.4446, dtype=torch.float64)"
"tensor(3.2284, dtype=torch.float64)","tensor(2.3913, dtype=torch.float64)"
"tensor(3.9531, dtype=torch.float64)","tensor(2.3700, dtype=torch.float64)"
"tensor(3.0900, dtype=torch.float64)","tensor(2.3785, dtype=torch.float64)"
"tensor(3.2814, dtype=torch.float64)","tensor(2.3252, dtype=torch.float64)"
"tensor(3.0503, dtype=torch.float64)","tensor(2.4652, dtype=torch.float64)"
"tensor(3.0330, dtype=torch.float64)","tensor(2.3122, dtype=torch.float64)"
"tensor(3.0774, dtype=torch.float64)","tensor(2.2856, dtype=torch.float64)"
"tensor(2.9847, dtype=torch.float64)","tensor(2.2661, dtype=torch.float64)"
"tensor(3.0114, dtype=torch.float64)","tensor(2.2148, dtype=torch.float64)"
"tensor(2.8920, dtype=torch.float64)","tensor(2.1393, dtype=torch.float64)"
"tensor(2.9080, dtype=torch.float64)","tensor(2.1711, dtype=torch.float64)"
"tensor(2.8424, dtype=torch.float64)","tensor(2.1446, dtype=torch.float64)"
"tensor(2.8467, dtype=torch.float64)","tensor(2.1028, dtype=torch.float64)"
"tensor(2.9581, dtype=torch.float64)","tensor(2.0775, dtype=torch.float64)"
"tensor(2.7577, dtype=torch.float64)","tensor(2.0343, dtype=torch.float64)"
"tensor(2.8181, dtype=torch.float64)","tensor(2.0498, dtype=torch.float64)"
"tensor(2.7454, dtype=torch.float64)","tensor(2.0757, dtype=torch.float64)"
"tensor(2.7215, dtype=torch.float64)","tensor(1.9736, dtype=torch.float64)"
"tensor(2.6955, dtype=torch.float64)","tensor(2.0253, dtype=torch.float64)"
"tensor(2.7393, dtype=torch.float64)","tensor(1.9764, dtype=torch.float64)"
"tensor(2.6266, dtype=torch.float64)","tensor(1.8901, dtype=torch.float64)"
"tensor(2.4076, dtype=torch.float64)","tensor(1.5583, dtype=torch.float64)"
"tensor(2.1203, dtype=torch.float64)","tensor(1.4691, dtype=torch.float64)"
"tensor(1.9851, dtype=torch.float64)","tensor(1.2927, dtype=torch.float64)"
"tensor(1.9514, dtype=torch.float64)","tensor(1.2236, dtype=torch.float64)"
"tensor(1.7623, dtype=torch.float64)","tensor(1.1771, dtype=torch.float64)"
"tensor(1.7723, dtype=torch.float64)","tensor(1.0335, dtype=torch.float64)"
"tensor(1.5965, dtype=torch.float64)","tensor(0.9882, dtype=torch.float64)"
"tensor(1.5246, dtype=torch.float64)","tensor(0.9882, dtype=torch.float64)"
"tensor(1.4673, dtype=torch.float64)","tensor(0.9249, dtype=torch.float64)"
"tensor(8.6420, dtype=torch.float64)","tensor(6.1227, dtype=torch.float64)"
"tensor(7.1831, dtype=torch.float64)","tensor(5.0185, dtype=torch.float64)"
"tensor(6.2475, dtype=torch.float64)","tensor(4.3358, dtype=torch.float64)"
"tensor(5.6849, dtype=torch.float64)","tensor(3.7772, dtype=torch.float64)"
"tensor(4.7888, dtype=torch.float64)","tensor(3.3985, dtype=torch.float64)"
"tensor(4.3646, dtype=torch.float64)","tensor(3.1564, dtype=torch.float64)"
"tensor(4.1856, dtype=torch.float64)","tensor(2.9873, dtype=torch.float64)"
"tensor(3.9751, dtype=torch.float64)","tensor(2.9881, dtype=torch.float64)"
"tensor(5.8555, dtype=torch.float64)","tensor(2.7786, dtype=torch.float64)"
"tensor(3.8632, dtype=torch.float64)","tensor(2.7186, dtype=torch.float64)"
"tensor(3.6377, dtype=torch.float64)","tensor(2.6802, dtype=torch.float64)"
"tensor(3.5069, dtype=torch.float64)","tensor(2.6643, dtype=torch.float64)"
"tensor(3.5098, dtype=torch.float64)","tensor(2.6001, dtype=torch.float64)"
"tensor(3.4251, dtype=torch.float64)","tensor(2.6186, dtype=torch.float64)"
"tensor(3.3592, dtype=torch.float64)","tensor(2.5808, dtype=torch.float64)"
"tensor(3.3849, dtype=torch.float64)","tensor(2.4895, dtype=torch.float64)"
"tensor(3.3998, dtype=torch.float64)","tensor(2.4605, dtype=torch.float64)"
"tensor(3.2302, dtype=torch.float64)","tensor(2.5289, dtype=torch.float64)"
"tensor(3.1798, dtype=torch.float64)","tensor(2.4962, dtype=torch.float64)"
"tensor(3.1695, dtype=torch.float64)","tensor(2.4325, dtype=torch.float64)"
"tensor(3.1027, dtype=torch.float64)","tensor(2.3922, dtype=torch.float64)"
"tensor(3.3374, dtype=torch.float64)","tensor(2.3368, dtype=torch.float64)"
"tensor(3.0655, dtype=torch.float64)","tensor(2.2948, dtype=torch.float64)"
"tensor(3.0866, dtype=torch.float64)","tensor(2.2955, dtype=torch.float64)"
"tensor(3.0330, dtype=torch.float64)","tensor(2.2607, dtype=torch.float64)"
"tensor(2.9524, dtype=torch.float64)","tensor(2.3337, dtype=torch.float64)"
"tensor(3.0340, dtype=torch.float64)","tensor(2.1943, dtype=torch.float64)"
"tensor(2.9494, dtype=torch.float64)","tensor(2.1377, dtype=torch.float64)"
"tensor(2.8909, dtype=torch.float64)","tensor(2.1021, dtype=torch.float64)"
"tensor(2.8697, dtype=torch.float64)","tensor(2.0919, dtype=torch.float64)"
"tensor(2.8784, dtype=torch.float64)","tensor(2.0950, dtype=torch.float64)"
